idx,F0,F1,F2,F3,F4,F5,F6,F7,response
0,1.5090814750604045,-1.0491175931505488,1.9788854322401122,1.060733494664928,,0.8246547220854814,0.8194085221065752,-1.1577078362252038,214.59380187236934
1,0.6447638959702522,0.0071719663438985365,0.004492977476482933,4.168747966702677,-0.6228171213304207,1.8553657648333781,-0.5404677836475499,1.1411179802319495,151.95171694557348
2,0.8902410745768333,1.0801624507206475,0.16803122268748638,0.0027329479837143443,0.5224782684522065,0.407803695327575,1.6295922684686595,-1.1025987979191398,117.28086281024406
3,-0.21241028961190322,-1.0342665535640214,1.8434406876252538,4.486991723434994,-0.6100504063205355,0.7341008209997951,-0.1426600970681012,-0.1721192048610229,229.35847290078868
4,-0.827401757385345,-2.048496135894041,-0.0662418056507287,1.3616948193040148,1.2684562152528944,-1.084905788721063,1.9865559096860792,0.42551100080800996,230.15318851934768
5,-0.635465400198934,-1.1128499886284648,-0.3305797787875364,6.1413478167001285,1.9145274921587576,0.40889468991587014,-0.3647217277431946,-0.7313822074348769,-261.1165720464924
6,,-0.16013538258216528,0.8960504239645851,0.5222438285355125,0.4348703518237314,,-0.7374642564966696,0.8892524569677894,44.29941364715137
7,-0.8474002456410569,-1.1515666450288895,-0.49642750167546407,0.2758474004951828,-1.754898901069563,1.6638995688613314,-2.1141792382608293,1.1943413714944142,-210.47926169759182
8,0.9238316507377483,-0.9961427458255286,-1.7199991824222745,0.6934734914384083,-0.6517534573455885,-1.7702329044527334,-1.239013137155517,0.10361177631530966,-198.18155757409522
9,-0.43432451843980197,0.3887302574579344,-0.8273981807195399,0.25870105130973825,1.1512920892294536,-0.5818385861316048,-0.6273486952981465,-1.929004675135603,-23.13821262188948
10,0.30937920721526474,-0.2792121468165643,1.1154168038441588,0.06258580051476838,1.1852403861964564,-0.24100177605831502,0.2611108441460385,1.7041923019081986,28.49614783406562
11,1.0983195797324168,-1.2122786910539374,-0.8430597293153245,0.6731084647881829,-0.670109478192978,0.08385447972386614,0.9391101878007474,-1.0930638615681452,122.71691243429456
12,-1.4575901210898,0.11622834786540519,-0.22017339032505598,0.6234566701775425,3.0249515741692394,-0.9430987882283951,-0.3000006835450007,-0.9402587958058345,-109.05708991503977
13,-1.4744039386710035,0.4246119606963415,-0.2382567802170788,0.32624131439927717,-0.41541343750066156,0.9994039968692564,-0.4053397870688276,-0.07500351677690045,5.1851435801272885
14,0.7038035502465244,-0.4823981858024315,0.16826747900118227,,0.42128868943032455,1.4579948925610247,0.20371488121290104,-0.5747721207569464,18.316433751731758
15,-0.3721366066507865,-2.552908407479543,0.7984807597836528,0.6760658210911507,1.848625789321276,-0.3614991263189538,-0.7118776418030365,1.3022474917303073,-102.81399562068022
16,1.0813038125804855,1.5345874383197133,-0.05953279803573784,0.7452750310969768,0.15559063024395856,-2.5340108144369005,-0.19571581039454194,0.1596139678310106,-83.39244845251447
17,1.7912940724418491,-2.156641790325524,-0.2854794858920409,0.23062870343425296,1.2219914077568022,-0.17948143633602467,0.03528260380553346,0.2621173207118352,-33.86707928826685
18,-1.0047083246932593,-0.593602029911193,,0.727289628470509,2.3373538967945997,-0.10135831450325071,0.5913627092872666,1.5613342614897383,-102.67505876592989
19,0.30641880354178935,-0.027001329240084408,-1.2448126433053088,0.2452833041201859,0.1021914731241049,-0.2967121714566237,-0.33904458436679036,-0.7227206127570698,-10.30972410643539
20,1.3692803080487048,0.6713780309833187,-0.43224841144510356,0.4517235293676584,1.4163879332171678,-0.09640740316477092,1.0799424663337738,-0.7758358097079547,132.4772135496981
21,-1.250270445498952,0.005692502145276061,0.1971296662434045,1.3733464192635507,-0.3395247362618249,0.23324072008511446,-0.9268044678832803,0.5617289832557929,-172.4508877852311
22,0.0806454494943623,1.4959219309038556,-0.6243877247397474,0.3724029359781952,-0.5386229281306107,-1.8223112601316274,0.08098420886655856,-1.522440418340231,-65.79631880247159
23,-3.700228911150785,0.02589711545269805,0.31270868989297124,3.7342860345291644,,-0.6538775104222732,-1.7094866358329643,-0.7616141079720771,36.11344730500193
24,-0.028990512022559655,2.1443413756618956,0.16068636398990932,0.5808509689371771,-1.5523977699790603,-0.5294126438382201,1.3539409643800238,-1.5165606475231184,
25,-1.0870801878025769,0.8475517125561769,1.466971152356164,0.005823371250308282,0.7650348008805564,-0.5783205150005947,-1.1939236703593672,-0.2599154981752249,-55.917458369531616
